Date,Open,High,Low,Close,Volume,Adj Close
2021-01-04,81000.0,84400.0,80200.0,83000.0,38655276,83000.0
2021-01-05,81600.0,83900.0,81600.0,83900.0,35335669,83900.0
2021-01-06,83300.0,84500.0,82100.0,82200.0,42089013,82200.0
2021-01-07,82800.0,84200.0,82700.0,82900.0,32644642,82900.0
2021-01-08,83300.0,90000.0,83000.0,88800.0,59013307,88800.0
2021-01-11,90000.0,96800.0,89500.0,91000.0,90306177,91000.0
2021-01-12,90300.0,91400.0,87800.0,90600.0,48682416,90600.0
2021-01-13,89800.0,91200.0,89100.0,89700.0,36068848,89700.0
2021-01-14,88700.0,90000.0,88700.0,89700.0,26393970,89700.0
2021-01-15,89800.0,91800.0,88000.0,88000.0,33431809,88000.0
2021-01-18,86600.0,87300.0,84100.0,85000.0,43227951,85000.0
2021-01-19,84500.0,88000.0,83600.0,87000.0,39895044,87000.0
2021-01-20,89000.0,89000.0,86500.0,87200.0,25211127,87200.0
2021-01-21,87500.0,88600.0,86500.0,88100.0,25318011,88100.0
2021-01-22,89000.0,89700.0,86800.0,86800.0,30861661,86800.0
2021-01-25,87000.0,89900.0,86300.0,89400.0,27258534,89400.0
2021-01-26,88800.0,89200.0,86500.0,86700.0,33178936,86700.0
2021-01-27,86600.0,87700.0,85600.0,85600.0,26423070,85600.0
2021-01-28,83200.0,85600.0,83200.0,83700.0,31859808,83700.0
2021-01-29,84500.0,85000.0,82000.0,82000.0,39615978,82000.0
2021-02-01,81700.0,83400.0,81000.0,83000.0,28046832,83000.0
2021-02-02,84100.0,86400.0,83700.0,84400.0,26302077,84400.0
2021-02-03,84800.0,85400.0,83400.0,84600.0,22112205,84600.0
2021-02-04,83500.0,83800.0,82100.0,82500.0,24171688,82500.0
2021-02-05,83100.0,84000.0,82500.0,83500.0,18036835,83500.0
2021-02-08,83800.0,84200.0,83000.0,83000.0,15338765,83000.0
2021-02-09,84000.0,84800.0,82700.0,82700.0,20898332,82700.0
2021-02-10,82600.0,82600.0,81600.0,81600.0,23025766,81600.0
2021-02-15,83800.0,84500.0,83300.0,84200.0,23529706,84200.0
2021-02-16,84500.0,86000.0,84200.0,84900.0,20483100,84900.0
